date_time,country,city,state,shape,summary,lat,lng,location
1/10/16 22:20,USA,North Mankato,MN,Chevron,"Watching the stars through binoculars. Black,silent chevron, triangle flew ",44.1732996,-94.033845,POINT(-94.033845 44.1732996)
,,,,,into my vision. It went north to south. The underside of it,,,
1/10/16 22:15,USA,Long Island,NY,Fireball,"((HOAX??)) 3 fireball ufos seen above Elmont, Long Island. ((anonymous ",40.8517821,-73.09918527,POINT(-73.099185269027 40.8517821)
,,,,,report)),,,
1/10/16 22:00,USA,Laona,WI,Unknown,flashing lights above northeast Wisconsin. ((NUFORC Note: We suspect a ,45.560864,-88.6724569,POINT(-88.6724569 45.560864)
,,,,,"""twinkling"" star. PD))",,,
1/10/16 22:00,USA,Whiting,IN,Circle,Orange lights moving up down east and west. Then met up to form a circle.,41.6797578,-87.4944872,POINT(-87.4944872 41.6797578)
1/10/16 22:00,USA,Central,LA,Fireball,Flying fireball,34.2248222,-87.0091741,POINT(-87.0091741 34.2248222)
1/10/16 22:00,USA,Bend,OR,Light,"Saw a flickering light that changed colors (white, red, green, blue). It ",44.0581728,-121.3153095,POINT(-121.3153095 44.0581728)
,,,,,"stayed in the same general area, but would zig zag and dart oc",,,
1/10/16 22:00,USA,Kenner,LA,Circle,Group of shape forming lighted objects in sky,29.9942265,-90.2417805,POINT(-90.2417805 29.9942265)
1/10/16 21:45,USA,Irvine,CA,Fireball,"red, green and yellow fireball over Irvine/Newport Beach area tonight",33.6856969,-117.8259818,POINT(-117.8259818 33.6856969)
1/10/16 21:30,USA,Monetta,SC,Other,We were watching a movie at the drive in when I got bored and started star ,33.8501416,-81.6095492,POINT(-81.6095492 33.8501416)
,,,,,gazing. I noticed an object moving across the sky. It was li,,,
8/12/16 16:00,USA,Atlanta,GA,Sphere,Seeing orange orbs on the ground and in the air as the airplane was taking ,33.7490987,-84.3901848,POINT(-84.3901848 33.7490987)
,,,,,off unbelievable!,,,
1/10/16 21:00,USA,Yukon,OK,Flash,"Quick flash reflecting in parking lot, no sound or lightning.",35.5067259,-97.7625385,POINT(-97.7625385 35.5067259)
1/10/16 20:48,USA,Bucksport,ME,Chevron,Three large bright lights hovering for 2-3 minutes.,44.5736852,-68.7955878,POINT(-68.7955878 44.5736852)
1/10/16 20:43,USA,Chula Vista,CA,Triangle,((NUFORC Note: No information provided by witness. PD)),32.6400541,-117.0841954,POINT(-117.0841954 32.6400541)
1/10/16 20:41,USA,Plano,TX,Light,Royal blue blinking lights in formation across North Dallas sky.,33.0136764,-96.6925095,POINT(-96.6925095 33.0136764)
1/10/16 20:35,USA,San Jose,CA,Teardrop,Bright greenish orb with reddish tail fell at 45 degree angle over West San ,37.3361905,-121.8905832,POINT(-121.8905832 37.3361905)
,,,,,Jose.,,,
